"x_m, y_m"
0.0,0.0
0.516286833339026,-0.7226951763841548
1.7706719173186514,-1.48844949322878
2.7269245200203893,-1.8533060312938188
3.850611429474084,-1.5028984479619618
4.365597090441938,-0.36237117486169557
4.197268533864872,0.6626281176659884
3.069182478660771,1.361095714109593
1.3827091761596821,1.5131162059644339
-0.021237149635210385,1.658173635672347
-1.2323686567949443,1.7359945598798485
-2.654009503750739,1.8920325210913047
-4.67080278488411,1.888095722073711
-6.3643221938433125,1.9059530567816059
-8.026230877316706,1.23974560902989
-8.523689625165508,0.11687410726030885
-8.037486933941837,-1.1780135692214802
-6.672718121267783,-1.5126924731946052
-5.264271112104535,-1.3171302157261942
-3.735273084949168,-0.7356838723129933
-2.4552074809751843,-0.19636299526422685
-1.320350020946579,-0.016028736378729973
-0.17455618646138313,-0.239380942151364
