"time: 56.763479, num_collisions: 48, num_errors: 0"
"x_m, y_m"
0.0,0.0
0.3048460848620972,-0.23265076621235686
0.6083671691872854,-0.46468534434573683
0.9063337661482086,-0.6990534001266645
1.203483321012187,-0.9224329914829171
1.5119141816349946,-1.1614943736916044
1.825438071961186,-1.3737538128576234
2.112140123884857,-1.62178835699659
2.4176824327311035,-1.856899531333937
2.7290811061072304,-2.0805534937205685
3.071479185289257,-2.3376466997916316
3.3432858297548855,-2.580092834375325
3.6490896031202875,-2.7839595511169355
3.941219641300366,-3.0275869206623427
4.205798236643261,-3.2553427459434285
4.535299550916981,-3.4754431546359115
4.837690751608924,-3.725882959224096
5.141903801680022,-3.961823129179267
5.454453719527361,-4.18578307018689
5.750791049842979,-4.413658369476125
6.077501463550362,-4.643938685742939
6.349261091214655,-4.864576474473097
6.65861348226911,-5.141746540580601
6.995829263248958,-5.321301034030775
7.349330143149303,-5.530970801507721
7.621855827613268,-5.8227189097756975
7.9608010493217805,-6.0024353280504545
8.281248340773768,-6.237668611514305
8.497141373083156,-6.507757177339146
8.772370040223247,-6.769256487922799
9.074717440123626,-6.956117472875733
9.438446680497567,-7.1862547511514565
9.70234805880312,-7.467852492700784
10.009830504888622,-7.663374855304063
10.311889959538462,-7.901713765719375
10.592184031407102,-8.090502360125933
10.862179453384629,-8.381093757322194
11.23233451158356,-8.64861671189972
11.497554988465657,-8.770921354945347
11.817480173187876,-9.04322373594019
12.034598078079043,-9.252218836771041
12.503412468445637,-9.523156094678923
12.78318976705601,-9.826182212324856
13.082998823254885,-9.960765164666874
13.505660486356087,-10.285004011818453
13.745527244695648,-10.411079846395987
13.953222589884632,-10.637385461180811
14.14437983133551,-10.947693679631238
14.532233189687256,-11.024893076533154
14.981789740462606,-11.42107198767838
15.24915954998402,-11.576739692440785
15.533702889933624,-11.840305599756206
15.913960347694587,-12.116905791884752
16.07298104607491,-12.33268555916866
16.303625299314653,-12.545406836706535
16.823773055934424,-12.761020273958774
17.063461746807018,-12.918612565073602
17.445890164216088,-13.18591224745627
17.53672842592981,-13.420604602922971
17.94813512678431,-13.599902473997378
18.283984393598686,-13.934006860298734
18.421282879159854,-14.335609182533325
18.726510324406032,-14.384352467051132
19.202603730180883,-14.590945315858342
19.278787000123664,-14.852468440668819
19.778674805872576,-15.285962762599938
20.000786435288155,-15.161855190876324
20.37522485535954,-15.498915143570047
20.649668158189595,-15.789183916963191
21.074451421182996,-15.945203092204322
21.20270628151725,-16.399797939703483
21.826443816733462,-16.52457594737127
21.837247730637266,-16.625229599110934
22.313495216975312,-16.958616271809873
22.387367022641218,-17.219273340795144
22.894641415535077,-17.408967745965743
23.18504283408652,-17.52400081453699
23.4230297297252,-17.80946123561716
23.91053040139614,-18.264084277133566
23.99029654140419,-18.309467853393645
24.20091113231821,-18.40400478143995
24.478126187931338,-18.718556588308335
24.928999325353036,-18.906981256054905
25.291245416237082,-19.26213043983803
25.53538502673289,-19.47491974264433
25.750215124401954,-19.55568377288301
25.991603819829784,-19.890143324597986
26.421882645679286,-19.98826162757511
26.80876679417788,-20.47741262457236
26.96442741269295,-20.566632675450382
27.462259746937164,-20.993574771530152
27.781694113409873,-21.097178307339544
28.164433892829056,-21.287126832494256
28.184632643967316,-21.391032995591484
28.608424028910278,-21.816575667383066
28.872678920681206,-21.881691601575213
29.21829475057605,-22.167320987737984
29.708456547559994,-22.61512039265684
29.81088694492045,-22.828912110725614
30.08863442409223,-23.029558723788938
30.09634900285209,-23.19928341012499
30.59669274366203,-23.520149877564872
31.020784275583257,-23.887696373781658
31.252327810291604,-24.004727552251783
31.591486241654167,-23.87510881866372
31.852777733104446,-24.437937024929024
32.27709351990763,-24.71838124322864
32.4863540961287,-24.88856783403982
32.684612077036434,-24.872889403092756
32.92165865232695,-24.98528087270584
33.42312626016355,-25.41459317977705
33.839383536502076,-25.6920666781885
34.33838301514172,-25.74304148825339
34.235143333716586,-26.125883052875757
34.541412725606094,-26.268885106970014
35.00603678587396,-26.717892168013513
35.038652459135655,-27.233001374624536
35.607484262178126,-27.282695088166783
35.68697255269332,-27.43717329232606
36.215161329880175,-27.705233346506578
36.30920724661441,-27.6698239808488
36.57520294665929,-27.933195451288608
37.07772585772053,-28.035879612723473
37.691743290606745,-28.252325084622264
38.025149688586914,-28.598135655485606
38.277914597235196,-28.848985429985266
38.30560573550928,-28.79002741520883
38.7154222726184,-28.961370839701434
39.556874800585916,-29.101712994674028
39.765857109771076,-29.035979523800755
40.04067775428526,-29.02775250150437
40.295137519326374,-29.52289387048645
40.88791811101218,-29.15818186148104
41.1050754185338,-28.97888489454839
41.63965356865974,-28.57392582294642
40.88872853170871,-28.042313817338187
41.519710584831216,-28.03673725547632
40.955377113294965,-27.214865072545333
41.03187434926966,-27.11702727503371
40.81803285874798,-26.984046516746908
40.5889177088964,-26.387220713872225
40.376053636615566,-25.903449895435802
40.78768025058594,-25.60825388749909
40.29429906035256,-25.233097734513965
40.41891919129468,-24.749518812190363
39.62138990186169,-24.50524644138624
39.69412533632437,-24.17407011262466
40.12539454801067,-23.57439748836743
39.772611956392524,-23.550237957480636
39.570465866619095,-22.88740799273436
39.368554746380205,-22.813158290387822
39.24452156612869,-22.49274052662498
39.166601022333694,-21.94354909865354
39.286985513260355,-21.674469735395625
39.11010140161717,-21.406757496533224
38.700242668237586,-20.898609711613236
38.474701646182105,-20.43722367110051
38.29470806882976,-20.232248591025943
38.38245766179701,-19.9295227168263
38.169738120164546,-19.55490777151318
38.21252408876608,-18.984512810346313
